Info,Profit,ID,Open time,Open Price,Close Time,Close Price,Type,Amount,Income
EUR/JPY,82%,d849cf9a-e285-4d9e-b9b6-ef174382281a,2023-12-11 15:20:01,157.34,2023-12-11 15:21:00,157.392,Up,1000,1820
AUD/JPY,83%,c172549d-86bb-473c-80ed-763437c03f1e,2023-12-11 15:15:00,96.022,2023-12-11 15:16:00,96.026,Down,500,0
AUD/JPY,83%,4c69f17d-5448-4334-b3b8-2854276644fc,2023-12-11 15:14:22,96.005,2023-12-11 15:15:00,96.022,Down,250,0
EUR/AUD,84%,362353bc-62e0-44a8-afae-ceecad1d5f94,2023-12-11 14:59:04,1.63925,2023-12-11 15:00:00,1.63938,Up,500,920
EUR/AUD,84%,515b87a9-ee03-4663-8062-36a24d594cd7,2023-12-11 14:58:01,1.63949,2023-12-11 14:59:00,1.63928,Up,250,0
GBP/JPY,78%,c2ec0207-16c5-4db8-b6dd-7a3f4affda98,2023-12-11 11:13:01,183.882,2023-12-11 11:14:00,183.887,Up,200,356
AUD/USD (OTC),88%,e140cb13-8f36-4fde-9ba1-182a786643e1,2023-12-11 11:08:00,0.6585,2023-12-11 11:10:00,0.6585,Up,200,200
Boeing Company (OTC),87%,0d53f8b9-ad94-4894-95a7-3d022d0c8187,2023-12-11 10:54:00,207.24,2023-12-11 10:55:00,207.11,Down,800,1496
Boeing Company (OTC),87%,604dc976-2119-4240-ae02-36e9813934a0,2023-12-11 10:52:58,206.94,2023-12-11 10:53:58,207.21,Down,400,0
Boeing Company (OTC),87%,0a82e7e5-ae30-47d9-8003-6143c13c03d1,2023-12-11 10:52:00,206.7,2023-12-11 10:53:00,206.93,Down,200,0
AUD/CAD (OTC),77%,82986b61-0e84-4b26-b2a6-2446a18e0b45,2023-12-11 10:29:59,0.90178,2023-12-11 10:30:59,0.90141,Down,400,708
AUD/CAD (OTC),77%,7f88dd38-8a44-437f-9d6a-615414906f17,2023-12-11 10:29:00,0.90132,2023-12-11 10:30:00,0.90176,Down,200,0
USD/TRY (OTC),92%,f5353b1e-9e58-43ab-9abf-b2f26474a418,2023-12-11 10:05:59,28.8726,2023-12-11 10:06:59,28.8672,Down,1600,3072
USD/INR (OTC),90%,c7f54b53-2e48-443f-b651-ec83ddcf8bed,2023-12-11 10:02:00,89.1958,2023-12-11 10:03:00,89.2044,Down,800,0
USD/INR (OTC),90%,298c777b-7fae-4490-90ec-5c5b976ea6d1,2023-12-11 10:00:59,89.1936,2023-12-11 10:01:59,89.1958,Down,400,0
USD/INR (OTC),92%,88de718a-adde-465b-996e-a9b2457ab6e0,2023-12-11 10:00:05,89.1843,2023-12-11 10:01:05,89.1939,Down,200,0
AUD/USD (OTC),90%,13576d41-67d3-4510-ba1f-9df18d94c6db,2023-12-11 09:43:16,0.65491,2023-12-11 09:44:16,0.65464,Down,1200,2280
USD/INR (OTC),80%,07c93a98-6fbf-4a49-b985-e2795a4c6f73,2023-12-11 09:41:01,89.2144,2023-12-11 09:42:01,89.2133,Up,600,0
USD/INR (OTC),78%,8ee5b9fa-7466-42ee-9aa9-a5ff742b44f2,2023-12-11 09:40:01,89.2167,2023-12-11 09:41:01,89.2142,Up,300,0
AUD/USD (OTC),90%,b8021019-2e85-43b4-8fec-34e2cac46879,2023-12-11 09:26:00,0.65525,2023-12-11 09:27:00,0.65561,Up,300,570
USD/ARS (OTC),92%,41a557e0-0a82-47d3-8f54-9b1d7bb1f2da,2023-12-11 09:02:29,994.21,2023-12-11 09:03:29,994.31,Up,5600,10752
USD/ARS (OTC),92%,80154c4e-eab1-44b9-8d65-3f80e59e1ac2,2023-12-11 09:01:01,994.32,2023-12-11 09:02:01,994.29,Up,2800,0
EUR/GBP,82%,8c5aab58-c9ae-4606-805b-42e16ef60be9,2023-12-11 08:58:00,0.85779,2023-12-11 08:59:00,0.85769,Up,1400,0
EUR/GBP,82%,23bb3673-5d14-4969-bcd2-7832ed40cdaf,2023-12-11 08:56:59,0.85782,2023-12-11 08:58:00,0.85779,Up,700,0
EUR/GBP,84%,b6b8969e-35f5-42d1-ae24-ac8746e6934c,2023-12-11 08:56:01,0.85793,2023-12-11 08:57:00,0.85782,Up,340,0
