Info,Profit,ID,Open time,Open Price,Close Time,Close Price,Type,Amount,Income
AUD/JPY (OTC),92%,29b5ed93-fcbd-4a0c-a413-9533f248d4d6,2023-12-11 08:30:00,91.64,2023-12-11 08:31:00,91.596,Down,334,641.28
AUD/JPY (OTC),92%,0d2ac6e5-bb48-4441-a26f-e80ffb3a42e3,2023-12-11 08:15:18,91.842,2023-12-11 08:16:18,91.802,Down,300,576
USD/DZD (OTC),78%,858c40ab-e405-4aab-a148-1b1240429801,2023-12-11 07:02:00,134.77,2023-12-11 07:03:00,134.758,Down,700,1246
AUD/JPY (OTC),84%,8a39baa9-dc22-4cfd-b0fc-b1cccf3c05f7,2023-12-11 06:58:00,92.365,2023-12-11 06:59:00,92.384,Down,350,0
AUD/CAD (OTC),82%,e864f14f-711c-41ec-85cd-b10c995f020a,2023-12-11 06:52:01,0.89912,2023-12-11 06:53:01,0.89883,Down,330,600.6
AUD/CAD (OTC),90%,21291903-561d-412f-99e6-79ed27bfbc40,2023-12-11 06:36:00,0.89715,2023-12-11 06:37:00,0.89713,Down,640,1216
AUD/CAD (OTC),90%,6aeed703-e2b3-45db-8293-5495fc1403ea,2023-12-11 06:35:00,0.89678,2023-12-11 06:36:00,0.89713,Down,320,0
USD/ARS (OTC),92%,0710d4ad-53e7-4888-9c38-dfaf38b342fb,2023-12-11 06:28:01,997.28,2023-12-11 06:29:01,997.51,Up,310,595.2
AUD/CAD (OTC),91%,dbbe845e-ab98-4df3-bdb1-2cb2d3f7dc3c,2023-12-11 06:13:02,0.89657,2023-12-11 06:14:02,0.89654,Down,620,1184.2
AUD/CAD (OTC),91%,bb0ae7d7-aba9-491e-b274-397813afaa02,2023-12-11 06:12:01,0.89648,2023-12-11 06:13:01,0.89649,Down,310,0
