Info,Profit,ID,Open time,Open Price,Close Time,Close Price,Type,Amount,Income
Boeing Company (OTC),87%,277866c7-6172-406f-82dc-e40424a3c18f,2023-12-10 10:10:00,220.75,2023-12-10 10:11:00,220.61,Down,300,561
American Express (OTC),87%,c862561a-7f1c-4c52-9f2c-8621e00a9721,2023-12-10 09:57:00,151.829,2023-12-10 09:58:00,151.833,Up,300,561
USD/INR (OTC),86%,98bc32e3-fb05-4a84-8518-bc42df88680d,2023-12-10 09:46:00,83.371,2023-12-10 09:47:00,83.3647,Down,300,558
Boeing Company (OTC),85%,faf7fb41-8dc0-4ae0-929b-408fa2662022,2023-12-10 09:20:00,223.16,2023-12-10 09:21:00,223.11,Down,560,1036
Boeing Company (OTC),85%,5cca22cc-4044-4969-bdbb-2d9b3a028ec3,2023-12-10 09:19:00,222.92,2023-12-10 09:20:00,223.2,Down,280,0
USD/IDR (OTC),79%,a5da2217-82bb-434d-ba0c-0e0b68caaa6f,2023-12-10 09:03:00,15576.9,2023-12-10 09:04:00,15579.59,Up,280,501.2
USD/IDR (OTC),92%,75de9f9a-9bcd-4493-9a34-1847e7ed7188,2023-12-10 08:41:00,15573.75,2023-12-10 08:42:00,15573.62,Down,275,528
