Info,Profit,ID,Open time,Open Price,Close Time,Close Price,Type,Amount,Income
USD/BRL (OTC),92%,1749417a-9f27-4164-9420-1b4bd220e892,2023-12-12 16:32:01,4.90495,2023-12-12 16:33:01,4.90509,Up,3200,6144
USD/TRY (OTC),92%,4ddf9812-1638-4583-bdc3-82627043fd35,2023-12-12 16:26:00,28.9695,2023-12-12 16:27:00,28.9704,Down,1600,0
GBP/JPY (OTC),90%,debb9116-3091-409f-9756-84cc3e326176,2023-12-12 16:23:59,179.486,2023-12-12 16:24:59,179.497,Down,800,0
GBP/JPY (OTC),88%,a312d39a-faba-436d-abfc-a2d337a219d7,2023-12-12 16:22:00,179.432,2023-12-12 16:23:00,179.433,Down,400,0
USD/BRL (OTC),92%,194dd7c6-7faf-409d-9d88-ffd43cb609f2,2023-12-12 16:17:01,4.90493,2023-12-12 16:18:01,4.90503,Up,400,768
USD/INR (OTC),86%,f7dcb8d2-2044-45ca-8ad2-77599b36638f,2023-12-12 15:16:01,88.8254,2023-12-12 15:17:01,88.8279,Up,3600,6696
USD/INR (OTC),84%,a72edf95-06bf-49f7-b218-543a1b8f471f,2023-12-12 15:15:00,88.8289,2023-12-12 15:16:00,88.8278,Up,1600,0
USD/INR (OTC),92%,d5a69eca-4dea-4b2d-b0fd-2a859bf92663,2023-12-12 15:14:01,88.8308,2023-12-12 15:15:01,88.8289,Up,800,0
USD/INR (OTC),92%,ccd9364f-01fd-4aad-8958-8db139f5f176,2023-12-12 15:06:00,88.8481,2023-12-12 15:07:00,88.8498,Down,400,0
AUD/JPY (OTC),92%,5f4d8a5f-9dca-4243-a469-53fa35e8edb0,2023-12-12 05:08:04,92.441,2023-12-12 05:09:04,92.432,Down,700,1344
AUD/JPY (OTC),92%,8ece061b-6892-405d-ab9b-74f785d23f78,2023-12-12 05:07:03,92.407,2023-12-12 05:08:03,92.435,Down,350,0
AUD/JPY (OTC),92%,31cd2caa-6905-4689-9d26-061c8b8852d1,2023-12-12 05:01:00,92.491,2023-12-12 05:02:00,92.44,Down,350,672
AUD/JPY (OTC),92%,71e3afa2-e509-4c0b-8806-5e544d0fee37,2023-12-12 04:59:08,92.539,2023-12-12 05:00:08,92.483,Down,700,1344
AUD/JPY (OTC),92%,9d76fd51-6121-417b-a6f5-a3f8caaea5d6,2023-12-12 04:58:00,92.507,2023-12-12 04:59:00,92.545,Down,350,0
EUR/USD (OTC),92%,a15693da-e3e4-4d7b-ae9b-4be1743d2078,2023-12-12 04:47:00,1.07627,2023-12-12 04:48:00,1.07626,Down,350,672
USD/INR (OTC),92%,014abe14-6c02-4593-8f8e-2adbf249b43d,2023-12-12 04:13:59,89.0005,2023-12-12 04:14:59,88.9991,Down,350,672
USD/INR (OTC),92%,62fcbfee-d237-4b73-b66a-49dc89997d65,2023-12-12 04:10:00,89.0098,2023-12-12 04:11:00,89.0074,Down,350,672
EUR/AUD (OTC),90%,86b57fd5-9009-4431-a6b0-00821e350993,2023-12-12 04:08:00,1.62898,2023-12-12 04:09:00,1.62915,Up,1000,1900
EUR/USD (OTC),92%,35e86016-5603-499f-bcbb-69112fe40e90,2023-12-12 04:03:00,1.07712,2023-12-12 04:04:00,1.07711,Up,400,0
EUR/USD (OTC),92%,10fb41ea-806f-49e2-be2d-70b930e521d3,2023-12-12 04:02:05,1.0774,2023-12-12 04:03:05,1.07702,Up,200,0
EUR/USD (OTC),92%,599f4c21-54f0-4567-8574-4a802adeae07,2023-12-12 04:01:01,1.07738,2023-12-12 04:02:01,1.07732,Up,200,0
